"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003823","GO:0003823","antigen binding","38/260","123/6790",4.73897544628687e-25,2.11832202449023e-22,1.95545092099416e-22,"IGHG1/IGHG2/HLA-DRA/IGLV1-44/IGHV1-18/IGHV3-7/IGHA1/HLA-B/IGKV3-15/IGHV5-51/HLA-A/IGHV3-11/IGLV2-14/IGLC2/IGLV3-25/HLA-C/HLA-DRB1/TAPBP/IGKC/HLA-DRB5/IGLV3-21/IGHV3-23/IGHV3-30/IGLV3-19/HLA-DPA1/HLA-E/IGKV1-5/IGHV7-4-1/IGKV3-20/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/IGLV2-23/IGKV1-17/IGHD/IGHV3-64D",38
"GO:0003735","GO:0003735","structural constituent of ribosome","33/260","131/6790",8.93718736912466e-19,1.99746137699936e-16,1.84388286773519e-16,"RPS12/RPL8/RPL5/RPL11/RPL7/ISG15/RPL12/RPL27/RPS24/RPL32/RPL31/RPS2/RPS18/RPL19/RPS4X/RPL13A/RPS13/RPS21/RPL41/RPS9/RPL10/RPS16/FAU/MRPL41/RPS8/RPS25/RPL36AL/RPS27A/RPS20/RPL10A/RPS3/RPL7A/RPL35A",33
"GO:0034987","GO:0034987","immunoglobulin receptor binding","19/260","63/6790",8.44871946074352e-13,1.25885919965078e-10,1.16206948372332e-10,"IGHG1/IGHG2/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/IGHV3-11/IGLC2/IGKC/IGHV3-23/IGHV3-30/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/IGHD/IGHV3-64D",19
"GO:0005198","GO:0005198","structural molecule activity","49/260","466/6790",3.7728752569095e-11,4.21618809959636e-09,3.89201868607506e-09,"RPS12/LUM/AEBP1/RPL8/BGN/KRT19/TNC/HLA-DRB1/COL3A1/RPL5/RPL11/RPL7/FGA/ISG15/RPL12/RPL27/RPS24/RPL32/RPL31/FGG/RPS2/KRT18/RPS18/RPL19/RPS4X/RPL13A/RPS13/RPS21/APOE/RPL41/RPS9/RPL10/RPS16/FAU/TUBB4B/MRPL41/RPS8/RPS25/RPL36AL/RPS27A/RPS20/ACTG1/RPL10A/RPS3/H3-3B/KRT17/RPL7A/RPL35A/COL1A2",49
"GO:0015453","GO:0015453","oxidoreduction-driven active transmembrane transporter activity","14/260","57/6790",1.80885293135297e-08,1.61711452062955e-06,1.4927796822955e-06,"COX2/COX1/ND5/NDUFS5/COX3/ND2/ND4L/CYTB/ND3/ND4/NDUFA1/ND6/ND1/NDUFB7",14
"GO:0042605","GO:0042605","peptide antigen binding","9/260","21/6790",3.02918542166268e-08,2.2567431391387e-06,2.0832292724417e-06,"HLA-DRA/HLA-B/HLA-A/HLA-C/HLA-DRB1/TAPBP/HLA-DRB5/HLA-DPA1/HLA-E",9
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity","10/260","33/6790",2.42270709386568e-07,1.39659795436777e-05,1.28921793974371e-05,"ND5/NDUFS5/ND2/ND4L/ND3/ND4/NDUFA1/ND6/ND1/NDUFB7",10
"GO:0015399","GO:0015399","primary active transmembrane transporter activity","17/260","102/6790",2.49950416889087e-07,1.39659795436777e-05,1.28921793974371e-05,"COX2/COX1/ND5/NDUFS5/COX3/ND2/ND4L/CYTB/TAPBP/ND3/ND4/NDUFA1/ND6/ND1/ATP5F1B/ATP1B1/NDUFB7",17
"GO:0003954","GO:0003954","NADH dehydrogenase activity","10/260","34/6790",3.31757444729073e-07,1.48295577793896e-05,1.36893598246102e-05,"ND5/NDUFS5/ND2/ND4L/ND3/ND4/NDUFA1/ND6/ND1/NDUFB7",10
"GO:0050136","GO:0050136","NADH dehydrogenase (quinone) activity","10/260","34/6790",3.31757444729073e-07,1.48295577793896e-05,1.36893598246102e-05,"ND5/NDUFS5/ND2/ND4L/ND3/ND4/NDUFA1/ND6/ND1/NDUFB7",10
